# model_1: cps=0.135,seas=1.066
# model_2: cps=0.129,seas=1.084
# model_3: cps=0.131,seas=1.009
# model_4: cps=0.114,seas=1.055
ds,exp_mean,model_1,model_2,model_3,model_4
2005-03-01,3.022462550347123,2.9701361212839728,2.9777204673657156,3.0123449150702393,3.1344274949495237
2005-04-01,3.4248270967904717,3.3867392174100743,3.4179577174531595,3.3922686285791492,3.506223715034698
2005-05-01,3.390943499085867,3.341800519487178,3.409642605259051,3.3791790643632984,3.4357677820984254
2005-06-01,3.2886211954830356,3.2796873205287085,3.258715935587337,3.2400997180917925,3.3831178663627957
2005-07-01,3.198444279107767,3.095699445073137,3.2239245916920245,3.203350573060422,3.2785588438867466
2005-08-01,3.211972914873173,3.16228419706345,3.212822388965764,3.2074831537266246,3.2696832044611623
2005-09-01,3.6416253355007173,3.6269099729603558,3.6367956811208124,3.6561689248362885,3.647386391066685
2005-10-01,4.656750405897943,4.639093839779777,4.650128722590045,4.649871742569607,4.69019884084441
2005-11-01,5.017549862926064,4.993247242368146,5.020715728808341,4.993400838498253,5.065157857481385
2005-12-01,3.9804268228882393,3.9591398087080663,3.9732383172232573,3.970314268739946,4.020836834075285
2006-01-01,3.5794971436490646,3.563825786333984,3.5759009052646817,3.5596967879186643,3.6205781156429664
2006-02-01,4.032741694756194,4.023328056134863,4.032492863861943,4.028304654635937,4.047746450483281
2006-03-01,3.0072931770659332,3.003538559518432,2.9935275981110667,2.9845155003193873,3.049336546859719
2006-04-01,3.344544670225345,3.3721687605480932,3.3371848661877497,3.3311200708544892,3.337714925905825
2006-05-01,3.5540356166137514,3.5106414823716006,3.5511930226052586,3.5456674611565453,3.6118288015090654
2006-06-01,3.88890905368219,3.879285006262752,3.8792180901413102,3.8755174519527245,3.9224155780514804
2006-07-01,3.788831058780639,3.776579079328963,3.776002738124835,3.767874695957413,3.8365431098845972
2006-08-01,3.669061820693473,3.656991900873659,3.6632941306230604,3.6685770892053755,3.687600558096415
2006-09-01,3.8340136014795116,3.823908581488787,3.816883790333671,3.823307737515321,3.8720936308236285
2006-10-01,2.8266055494215383,2.8112764215191453,2.8404709475364993,2.8076558481879115,2.8473140060086446
2006-11-01,2.1052154205529576,2.089998465612758,2.095594026888859,2.089974258136154,2.14558964642226
2006-12-01,2.3755499727413207,2.382580694339685,2.378594317144561,2.358210361998492,2.383029830128465
2007-01-01,2.380377066642967,2.3683914219978566,2.370074447528238,2.3914852833337896,2.391580014807146
2007-02-01,1.876876399907288,1.867772659505988,1.8696202728157783,1.8650891978693558,1.9049980094427448
2007-03-01,1.9753781365727794,1.9626617097172891,1.9732630577455295,1.9764761100761272,1.9890748141631862
2007-04-01,2.7394968559040587,2.753160963611202,2.728853957546389,2.738671226660862,2.737463287088368
2007-05-01,2.6743923664748532,2.6772673138131484,2.6690822911387153,2.676425581958972,2.674798616995303
2007-06-01,2.703788988435434,2.7162980036971787,2.7208444018814535,2.698566640234144,2.679693840867752
2007-07-01,2.95274413736343,2.9511723451648937,2.9569960841482903,2.9484619597685353,2.954375712110412
2007-08-01,3.044528040938393,3.048472007238204,3.041160811534258,3.057116333539998,3.0314136172672828
2007-09-01,2.613529844464678,2.6381025277859393,2.5813680907808196,2.64405964621837,2.5910632712894732
2007-10-01,2.6566375290657116,2.64819267545172,2.653668084655507,2.6610862254056498,2.663608441593284
2007-11-01,3.3628158541769757,3.360816100293248,3.362908663704391,3.3701949450782354,3.3573966210309827
2007-12-01,3.7166752028392125,3.7053242951969163,3.754580563857348,3.7083674492111003,3.6986311020087563
2008-01-01,3.9836528467330408,3.989512708329299,4.00134175549453,3.9714700050933747,3.9724845977720267
2008-02-01,3.7632851351314494,3.7487164321359985,3.7758128924265066,3.771668785754415,3.7570361769692835
2008-03-01,4.6270674944235255,4.629563981674624,4.624428804331081,4.628198471953722,4.626108490685844
2008-04-01,4.824864761325945,4.839587119685858,4.816258520457923,4.821890039990458,4.821829385988908
2008-05-01,5.284462045797236,5.27982722861391,5.293566496852149,5.260570593348774,5.303838350039347
2008-06-01,5.822740911696621,5.780961436222049,5.86062274176049,5.8229750185639535,5.826906184836309
2008-07-01,5.850509293631638,5.834490058129996,5.8467421388985255,5.83561022104195,5.886987828926719
2008-08-01,5.210094971984873,5.201592301209853,5.240924366684986,5.194246452934984,5.2046174449823805
2008-09-01,4.624714119791177,4.667573518868679,4.576401138644401,4.507471099880955,4.751155352018511
2008-10-01,3.7439984609515795,3.744563663285435,3.7529755731151138,3.6942928712743024,3.784792444571613
2008-11-01,3.1030057490512366,3.091057678673007,3.1270636637104516,3.1230012276722388,3.0703965580493637
2008-12-01,1.71412607116639,1.6868049123648667,1.7327865862525105,1.698991802450296,1.7380482555853618
2009-01-01,0.2863997508418904,0.3388190043876076,0.2505179843711316,0.384739811000971,0.17055760136676046
2009-02-01,0.2793416467146142,0.2520605149980142,0.28417902206085355,0.2736659971088926,0.30765460799112
2009-03-01,-0.6303396017287121,-0.694503653848038,-0.6104827416623841,-0.6487009996007815,-0.567162138430068
2009-04-01,-0.6099260377661966,-0.6126111802389786,-0.6053150270418257,-0.6257967682696339,-0.5959048315202891
2009-05-01,-0.801067333528585,-0.8047021401374925,-0.8204391699401103,-0.7911314701667918,-0.7878275621400093
2009-06-01,-0.497158848280331,-0.4980466816316147,-0.4977502661216615,-0.4966966861047988,-0.4961318723512962
2009-07-01,-0.4548184630250407,-0.4657045168545979,-0.46219651953558794,-0.4444287741953712,-0.4469461193369657
2009-08-01,-0.9819829069553087,-0.9483240481966035,-1.0100079376785114,-0.9760557029999113,-0.9933419797377163
2009-09-01,-1.0420624661139664,-1.0257366447514116,-1.0258280247345866,-1.0444385331028547,-1.0722009549996145
2009-10-01,-1.5415757310911207,-1.5280443154352685,-1.5368807174362846,-1.5504711348311675,-1.550868209972232
2009-11-01,-1.0680390415267833,-1.0610708705097593,-1.0553549936014957,-1.0650036370646019,-1.090616771484151
2009-12-01,-0.4628719045170322,-0.4327624062799327,-0.4933185325748104,-0.41368943833833427,-0.5117582844546833
