# model_1: cps=0.135,seas=1.066
# model_2: cps=0.129,seas=1.084
# model_3: cps=0.131,seas=1.009
# model_4: cps=0.114,seas=1.055
ds,exp_mean,model_1,model_2,model_3,model_4
2003-02-01,3.397457546176824,3.544284264131698,3.3349191439913817,3.382348472066382,3.325552979104235
2003-03-01,3.875620283438057,3.900220933645306,3.938251261502388,3.906765407712304,3.7542815167584864
2003-04-01,2.536840483594917,2.7166900131387512,2.5020190859189526,2.6608198981018516,2.2627760553880316
2003-05-01,2.4764213176374628,2.621489012031166,2.536753387120613,2.4888502976675237,2.2580847046321892
2003-06-01,2.6694945020074523,2.811524128967889,2.6877446140489747,2.8274249166760637,2.3500816282302432
2003-07-01,2.663270049803597,2.816104627679506,2.727157846888421,2.6320569212116025,2.474104861027584
2003-08-01,2.8975296437604072,3.0088348338455306,2.8347967622975343,3.074501978315835,2.672573401730472
2003-09-01,3.088016521313143,3.1558804927616606,3.200941228505604,3.196528552672195,2.7940721083871
2003-10-01,2.831952933714981,2.977902367257018,2.8189076981883314,2.916523634632158,2.6119942196349717
2003-11-01,2.968013051555179,3.173470451414925,2.9453382310017098,3.035419755692903,2.7172338720940967
2003-12-01,2.8822474974078642,2.912653065600318,2.890610367125225,2.9761506649223355,2.7536156742405202
2004-01-01,2.3992037610658343,2.248835885172106,2.41551646910776,2.482936345925714,2.4595452562760505
2004-02-01,2.1360195908597945,1.8836815972342942,2.1400326652590818,2.182640901264948,2.3537033993073324
2004-03-01,1.5132006680045984,1.3766590011655686,1.5367537927812802,1.3460038291058325,1.8103697847277345
2004-04-01,1.9414007991295166,1.985529443259074,1.9872386165444658,1.8691495342228133,1.9245789132014637
2004-05-01,2.313057572540304,2.219321879793521,2.4983106718352617,2.1771912341123203,2.364262575933316
2004-06-01,2.152164070974957,1.9840970311479351,2.0708297913644524,2.2625562612496823,2.300723645913565
2004-07-01,2.377530063027422,2.318248589132566,2.408543622377957,2.4425130110005675,2.34121026346036
2004-08-01,2.0942153484941897,1.9698862301941271,2.130151895535336,2.0803966917526613,2.2003322042129967
2004-09-01,2.2169805928825457,2.159421601429954,2.216295167488253,2.2014881105128774,2.292873437411223
2004-10-01,2.5723242935288195,2.623445221430622,2.6086545869328033,2.4411883039664453,2.6172014648684208
2004-11-01,2.7910858825805,2.7900461331584325,2.809994749947604,2.7975064067429916,2.7665440494560514
2004-12-01,2.400880570161761,2.3826781167562876,2.3822164180693273,2.3834055400281837,2.4562327798735586
2005-01-01,2.3007299033047124,2.2408086007441663,2.2697225430950763,2.242566745043062,2.454303118912533
2005-02-01,2.4588711652739352,2.3772944355282393,2.44126654656734,2.4292419450192306,2.5937676842420725
2005-03-01,2.4117659288706297,2.3382736386574674,2.3717718720805263,2.350980079959271,2.594512208274304
2005-04-01,2.6925963939230066,2.6245612269050875,2.711977431050898,2.679081761545289,2.758501401715466
2005-05-01,2.1819074188455665,2.208361452762815,2.0746078625187794,2.0557561372625517,2.406779998100799
2005-06-01,1.9689571834278679,1.7386515002734728,2.0125786823661205,1.9853929488277116,2.1568296046674
2005-07-01,2.2412652036604817,2.0564956039079147,2.2266657815715267,2.257288168703894,2.4402280024241603
2005-08-01,2.5720489783797893,2.5523891395649363,2.413592690866284,2.6758751601428123,2.6553610376999583
2005-09-01,3.6959635257125,3.6228210640480767,3.6429566350191394,3.6668246500177704,3.862465560982396
2005-10-01,3.6814134622365615,3.6346549574349534,3.6606878779752217,3.6208992459888587,3.8157780739500913
2005-11-01,2.6206243671154854,2.564655674837259,2.579676767429195,2.606497248920379,2.736809833021786
2005-12-01,2.4608814936943775,2.413648793495799,2.439496617761856,2.402451079357299,2.594346306928555
