,MAPE,RMSE,Bias,Period,PeriodStart,PeriodEnd
OOS,221.1505097552476,1.8419237042681813,0.7539067603627717,OOS,2007-01-01,2025-02-01
Adaptive,210.46390729117155,3.244685279714704,0.018127603275985393,OOS,2007-01-01,2025-02-01
