,MAPE,RMSE,Bias,Period,PeriodStart,PeriodEnd
OOS,221.1505097552476,1.8419237042681813,0.7539067603627717,Full,2007-01-01,2025-02-01
Adaptive,151.11647581220916,2.737833555877216,0.09136247593615629,Full,1998-01-01,2025-03-01
