,MAPE,RMSE,Bias,Period,PeriodStart,PeriodEnd
OOS,172.92367346909253,0.9744418773219593,-0.10775329773152544,OOS,2001-01-01,2025-03-01
Adaptive,461.78269722433765,2.1688120944558285,0.0222332089474523,OOS,2001-01-01,2025-03-01
Michigan,540.9457484873694,1.8900542240882405,0.5569032678853689,OOS,2001-01-01,2025-03-01
