ds,y,exp_mean,adaptive,mich
1991-01-01,5.647058823529405,,,
1991-02-01,5.312500000000009,,,
1991-03-01,4.821150855365497,,,
1991-04-01,4.809930178432875,,,
1991-05-01,5.034856700232382,,,
1991-06-01,4.695919938414161,,,
1991-07-01,4.367816091954024,,,
1991-08-01,3.7993920972644313,,,
1991-09-01,3.396226415094339,,,
1991-10-01,2.8485757121439192,,,
1991-11-01,3.0665669409125185,,,
1991-12-01,2.980625931445613,,,
1992-01-01,2.672605790645899,,5.647058823529405,3.9
1992-02-01,2.8189910979228294,,5.312500000000009,3.4
1992-03-01,3.189910979228472,,4.821150855365497,3.3
1992-04-01,3.1828275351591495,,4.809930178432875,3.2
1992-05-01,3.0235988200590036,,5.034856700232382,3.1
1992-06-01,3.0147058823529305,,4.695919938414161,3.3
1992-07-01,3.1571218795888534,,4.367816091954024,3.1
1992-08-01,3.0746705710102518,,3.7993920972644313,3.2
1992-09-01,2.9927007299270114,,3.396226415094339,3.0
1992-10-01,3.279883381924198,,2.8485757121439192,3.2
1992-11-01,3.1204644412191396,,3.0665669409125185,2.9
1992-12-01,2.966714905933454,,2.980625931445613,2.7
1993-01-01,3.2537960954446943,,2.672605790645899,2.7
1993-02-01,3.2467532467532534,,2.8189910979228294,2.6
1993-03-01,3.0194104960460155,,3.189910979228472,2.6
1993-04-01,3.1563845050215145,,3.1828275351591495,3.0
1993-05-01,3.2211882605583497,,3.0235988200590036,2.9
1993-06-01,2.9978586723768963,,3.0147058823529305,3.1
1993-07-01,2.8469750889679624,,3.1571218795888534,2.7
1993-08-01,2.840909090909083,,3.0746705710102518,2.8
1993-09-01,2.7639971651311157,,2.9927007299270114,3.0
1993-10-01,2.752293577981657,,3.279883381924198,2.8
1993-11-01,2.7445460942997935,,3.1204644412191396,2.9
1993-12-01,2.8109627547435068,,2.966714905933454,2.8
1994-01-01,2.450980392156854,,3.2537960954446943,2.9
1994-02-01,2.515723270440251,,3.2467532467532534,3.2
1994-03-01,2.6517794836008246,,3.0194104960460155,3.1
1994-04-01,2.364394993045882,,3.1563845050215145,3.0
1994-05-01,2.288488210818307,,3.2211882605583497,2.9
1994-06-01,2.494802494802495,,2.9978586723768963,3.5
1994-07-01,2.69896193771626,,2.8469750889679624,3.0
1994-08-01,2.900552486187835,,2.840909090909083,3.2
1994-09-01,2.965517241379323,,2.7639971651311157,3.0
1994-10-01,2.609890109890123,,2.752293577981657,3.3
1994-11-01,2.602739726027403,,2.7445460942997935,2.8
1994-12-01,2.597402597402576,,2.8109627547435068,3.0
1995-01-01,2.8708133971291794,,2.450980392156854,2.8
1995-02-01,2.862985685071595,,2.515723270440251,2.8
1995-03-01,2.7872195785180187,,2.6517794836008246,3.0
1995-04-01,3.125000000000022,,2.364394993045882,3.0
1995-05-01,3.1186440677966054,,2.288488210818307,3.1
1995-06-01,3.0425963488843744,,2.494802494802495,2.7
1995-07-01,2.8301886792452713,,2.69896193771626,2.9
1995-08-01,2.6174496644295386,,2.900552486187835,3.1
1995-09-01,2.54521098459477,,2.965517241379323,3.4
1995-10-01,2.7443105756358666,,2.609890109890123,3.0
1995-11-01,2.603471295060067,,2.602739726027403,3.2
1995-12-01,2.5316455696202667,,2.597402597402576,3.0
1996-01-01,2.7906976744185963,,2.8708133971291794,3.0
1996-02-01,2.717031146454607,,2.862985685071595,3.0
1996-03-01,2.8439153439153486,,2.7872195785180187,3.2
1996-04-01,2.832674571805005,,3.125000000000022,3.3
1996-05-01,2.827087442472065,,3.1186440677966054,3.0
1996-06-01,2.8215223097112663,,3.0425963488843744,2.9
1996-07-01,2.8833551769331667,,2.8301886792452713,2.9
1996-08-01,2.8122956180510084,,2.6174496644295386,2.9
1996-09-01,3.0045721750489918,,2.54521098459477,2.8
1996-10-01,3.0618892508143203,,2.7443105756358666,2.9
1996-11-01,3.2530904359141077,,2.603471295060067,2.8
1996-12-01,3.378817413905133,,2.5316455696202667,2.7
1997-01-01,3.0381383322559907,,2.7906976744185963,2.8
1997-02-01,3.0322580645161246,,2.717031146454607,2.8
1997-03-01,2.7652733118971096,,2.8439153439153486,2.9
1997-04-01,2.434336963484962,,2.832674571805005,3.0
1997-05-01,2.237851662404089,,2.827087442472065,3.1
1997-06-01,2.233567326100827,,2.8215223097112663,2.9
1997-07-01,2.165605095541401,,2.8833551769331667,3.0
1997-08-01,2.2900763358778775,,2.8122956180510084,3.1
1997-09-01,2.21940393151554,,3.0045721750489918,3.2
1997-10-01,2.0859671302149163,,3.0618892508143203,3.0
1997-11-01,1.8903591682419618,,3.2530904359141077,3.0
1997-12-01,1.6970458830924073,,3.378817413905133,3.0
1998-01-01,1.6311166875784044,,3.0381383322559907,3.0
1998-02-01,1.440200375704448,,3.0322580645161246,3.0
1998-03-01,1.3767209011263937,,2.7652733118971096,2.8
1998-04-01,1.4383989993745905,,2.434336963484962,3.0
1998-05-01,1.6885553470919357,,2.237851662404089,2.9
1998-06-01,1.6229712858926382,,2.233567326100827,2.8
1998-07-01,1.74563591022443,,2.165605095541401,2.7
1998-08-01,1.6169154228855787,,2.2900763358778775,2.7
1998-09-01,1.4267990074441794,,2.21940393151554,2.8
1998-10-01,1.4860681114551078,,2.0859671302149163,2.8
1998-11-01,1.4842300556586308,,1.8903591682419618,2.9
1998-12-01,1.606922126081578,,1.6970458830924073,2.8
1999-01-01,1.6666666666666607,,1.6311166875784044,2.3
1999-02-01,1.6666666666666607,,1.440200375704448,2.4
1999-03-01,1.7283950617283939,,1.3767209011263937,2.5
1999-04-01,2.281134401972884,,1.4383989993745905,2.4
1999-05-01,2.091020910209096,,1.6885553470919357,2.6
1999-06-01,1.9656019656019597,,1.6229712858926382,2.7
1999-07-01,2.1446078431372584,,1.74563591022443,2.6
1999-08-01,2.2643818849449104,,1.6169154228855787,2.4
1999-09-01,2.629969418960254,,1.4267990074441794,2.3
1999-10-01,2.56253813300793,,1.4860681114551078,2.5
1999-11-01,2.6203534430225606,,1.4842300556586308,2.3
1999-12-01,2.676399026763998,,1.606922126081578,2.5
2000-01-01,2.792956891317555,,1.6666666666666607,2.7
2000-02-01,3.2179720704310855,,1.6666666666666607,2.5
2000-03-01,3.762135922330101,,1.7283950617283939,2.7
2000-04-01,3.013863773357439,,2.281134401972884,2.7
2000-05-01,3.1325301204819134,,2.091020910209096,2.8
2000-06-01,3.7349397590361377,,1.9656019656019597,2.5
2000-07-01,3.5992801439711952,,2.1446078431372584,2.7
2000-08-01,3.3512866546977715,,2.2643818849449104,2.8
2000-09-01,3.45649582836709,,2.629969418960254,2.7
2000-10-01,3.4503271861986873,,2.56253813300793,2.9
2000-11-01,3.444180522565321,,2.6203534430225606,2.9
2000-12-01,3.4360189573459543,,2.676399026763998,3.0
2001-01-01,3.7212049616065945,4.569737786694795,2.792956891317555,3.0
2001-02-01,3.529411764705892,4.310120046851592,3.2179720704310855,2.9
2001-03-01,2.9824561403508643,3.7551506734931035,3.762135922330101,3.2
2001-04-01,3.2182562902282053,4.189088065754052,3.013863773357439,3.2
2001-05-01,3.5630841121495394,4.330482465733191,3.1325301204819134,3.0
2001-06-01,3.193960511033689,3.99266064271063,3.7349397590361377,2.9
2001-07-01,2.7214823393167498,3.3050455904523948,3.5992801439711952,3.0
2001-08-01,2.7214823393167498,3.2965231834964692,3.3512866546977715,2.7
2001-09-01,2.5921658986175045,3.410317898510323,3.45649582836709,2.9
2001-10-01,2.127659574468077,3.0038688129095914,3.4503271861986873,3.2
2001-11-01,1.894374282433997,3.095334148834086,3.444180522565321,2.9
2001-12-01,1.603665521191311,3.0996958779115444,3.4360189573459543,2.8
2002-01-01,1.1958997722095743,2.6839585293854675,3.7212049616065945,3.0
2002-02-01,1.1363636363636465,2.5404444148600733,3.529411764705892,2.8
2002-03-01,1.3628620102214661,2.319983753169894,2.9824561403508643,2.8
2002-04-01,1.643990929705219,2.7152271592941353,3.2182562902282053,3.1
