ds,y,exp_mean,adaptive
1997-01-01,6.656504065040658,,
1997-02-01,6.449422946367944,,
1997-03-01,5.854221635883894,,
1997-04-01,5.697959183673462,,
1997-05-01,5.361192095885969,,
1997-06-01,5.56094406724863,,
1997-07-01,5.250164581961836,,
1997-08-01,5.5518945634266625,,
1997-09-01,4.9267428755433995,,
1997-10-01,4.600638977635785,,
1997-11-01,4.995212256623072,,
1997-12-01,4.542586750788646,,
1998-01-01,4.271875496268063,,6.656504065040658
1998-02-01,4.113520408163263,,6.449422946367944
1998-03-01,4.29973516124007,,5.854221635883894
1998-04-01,5.112758727216571,,5.697959183673462
1998-05-01,4.996156802459639,,5.361192095885969
1998-06-01,4.869831546707504,,5.56094406724863
1998-07-01,4.784988272087576,,5.250164581961836
1998-08-01,4.682378648353369,,5.5518945634266625
1998-09-01,4.986957188890595,,4.9267428755433995
1998-10-01,4.4899205864386005,,4.600638977635785
1998-11-01,3.906368749049993,,4.995212256623072
1998-12-01,3.6964393482196822,,4.542586750788646
1999-01-01,3.274444106000618,,4.271875496268063
1999-02-01,3.0934150076569633,,4.113520408163263
1999-03-01,3.0171769977595186,,4.29973516124007
1999-04-01,2.615723732549591,,5.112758727216571
1999-05-01,1.9765739385066095,,4.996156802459639
1999-06-01,1.5332943925233655,,4.869831546707504
1999-07-01,1.5520071631099697,,4.784988272087576
1999-08-01,1.3717012076934543,,4.682378648353369
1999-09-01,1.344636071324179,,4.986957188890595
1999-10-01,1.7100263080970457,,4.4899205864386005
1999-11-01,1.974839087185476,,3.906368749049993
1999-12-01,2.3134002618943494,,3.6964393482196822
2000-01-01,2.344786904586349,,3.274444106000618
2000-02-01,2.644087938205586,,3.0934150076569633
2000-03-01,2.769319994200381,,3.0171769977595186
2000-04-01,2.1051124158671053,,2.615723732549591
2000-05-01,2.641780330222532,,1.9765739385066095
2000-06-01,2.2004889975550057,,1.5332943925233655
2000-07-01,2.615723732549591,,1.5520071631099697
2000-08-01,2.8974849242535683,,1.3717012076934543
2000-09-01,3.0141332564176615,,1.344636071324179
2000-10-01,3.7792786319873484,,1.7100263080970457
2000-11-01,4.0453306555731094,,1.974839087185476
2000-12-01,3.668941979522211,,2.3134002618943494
2001-01-01,3.184438040345805,,2.344786904586349
2001-02-01,3.415340086830687,,2.644087938205586
2001-03-01,3.174379232505653,,2.769319994200381
2001-04-01,3.7026647966339477,,2.1051124158671053
2001-05-01,3.9446076374318295,,2.641780330222532
2001-06-01,4.475091471995496,,2.2004889975550057
2001-07-01,4.181583846484327,,2.615723732549591
2001-08-01,4.002287021154971,,2.8974849242535683
2001-09-01,4.017919641607159,,3.0141332564176615
2001-10-01,3.1985599556909383,,3.7792786319873484
2001-11-01,2.8953536467668517,,4.0453306555731094
2001-12-01,3.525377229080928,,3.668941979522211
2002-01-01,4.775869291998336,,3.184438040345805
2002-02-01,3.7783375314861534,,3.415340086830687
2002-03-01,4.3484206208122655,,3.174379232505653
2002-04-01,4.0843927508790845,,3.7026647966339477
2002-05-01,3.7949132014533538,,3.9446076374318295
2002-06-01,3.6099137931034475,,4.475091471995496
2002-07-01,3.6426116838488065,,4.181583846484327
2002-08-01,3.8345244639911957,,4.002287021154971
2002-09-01,3.7954239569313764,,4.017919641607159
2002-10-01,4.025224741714739,,3.1985599556909383
2002-11-01,3.8992362320782625,,2.8953536467668517
2002-12-01,3.498078706770902,,3.525377229080928
2003-01-01,3.3053445288551364,,4.775869291998336
2003-02-01,4.2610571736785285,,3.7783375314861534
2003-03-01,3.9051238369807395,,4.3484206208122655
2003-04-01,3.2614345114345245,,4.0843927508790845
2003-05-01,3.487618306754836,,3.7949132014533538
2003-06-01,3.6531461258450415,,3.6099137931034475
2003-07-01,3.4880636604774473,,3.6426116838488065
2003-08-01,3.282594308405029,,3.8345244639911957
2003-09-01,3.280601659751037,,3.7954239569313764
2003-10-01,3.121372371985043,,4.025224741714739
2003-11-01,3.288625225689956,,3.8992362320782625
2003-12-01,3.098194853411851,,3.498078706770902
2004-01-01,3.0318668558895645,,3.3053445288551364
2004-02-01,2.638385928608389,,4.2610571736785285
2004-03-01,2.938579896582172,,3.9051238369807395
2004-04-01,3.070341009185862,,3.2614345114345245
2004-05-01,3.0568779754447606,,3.487618306754836
2004-06-01,2.959989966135712,,3.6531461258450415
2004-07-01,3.152633602460586,,3.4880636604774473
2004-08-01,2.8450595924644384,,3.282594308405029
2004-09-01,2.9378531073446235,,3.280601659751037
2004-10-01,3.302063789868659,,3.121372371985043
2004-11-01,3.158946185541267,,3.288625225689956
2004-12-01,3.1292685955544464,,3.098194853411851
2005-01-01,4.244928625093913,,3.0318668558895645
2005-02-01,3.1376008064516014,,2.638385928608389
2005-03-01,2.842440578289618,,2.938579896582172
2005-04-01,3.2840922964229025,,3.070341009185862
2005-05-01,3.197179674203743,,3.0568779754447606
2005-06-01,3.203800706541604,,2.959989966135712
2005-07-01,3.8638340166480267,,3.152633602460586
2005-08-01,3.5887850467289706,,2.8450595924644384
2005-09-01,3.8175387242346703,,2.9378531073446235
2005-10-01,3.7171570408039534,,3.302063789868659
2005-11-01,3.449527959331866,,3.158946185541267
2005-12-01,3.5039133052378046,,3.1292685955544464
2006-01-01,3.0150150150150212,,4.244928625093913
2006-02-01,3.12767257177764,,3.1376008064516014
2006-03-01,3.3238027162258765,,2.842440578289618
2006-04-01,3.534278959810888,,3.2840922964229025
2006-05-01,3.298386146778176,,3.197179674203743
2006-06-01,3.446647780925405,,3.203800706541604
2006-07-01,3.947368421052655,,3.8638340166480267
2006-08-01,3.4524239143510327,,3.5887850467289706
2006-09-01,3.101503759398505,,3.8175387242346703
2006-10-01,3.1286481438244307,,3.7171570408039534
2006-11-01,3.194103194103204,,3.449527959331866
2006-12-01,3.199162401116795,,3.5039133052378046
2007-01-01,3.031716417910446,1.9989154979849106,3.0150150150150212
2007-02-01,3.032816017059603,1.8665398689208827,3.12767257177764
2007-03-01,2.7672085783465805,1.7373619967989025,3.3238027162258765
2007-04-01,2.5573695627354676,1.900040275055857,3.534278959810888
2007-05-01,2.622876040597566,1.6951761854598852,3.298386146778176
2007-06-01,2.635782747603832,1.6216613995496594,3.446647780925405
2007-07-01,2.7272727272727115,1.9047385208887675,3.947368421052655
2007-08-01,2.744186046511632,1.590563558626673,3.4524239143510327
2007-09-01,2.951230628988144,1.7171145023036907,3.101503759398505
2007-10-01,2.9884537016074297,1.9667560621908076,3.1286481438244307
2007-11-01,3.9342403628117806,2.4460687489213635,3.194103194103204
2007-12-01,3.8552587081501555,2.2008758239389743,3.199162401116795
2008-01-01,3.9157990040742385,2.539386131541917,3.031716417910446
2008-02-01,4.553294239392902,2.6353739233109184,3.032816017059603
2008-03-01,4.375631100639521,2.806976414333473,2.7672085783465805
2008-04-01,4.419458978069679,2.955941128863398,2.5573695627354676
2008-05-01,4.944993888209814,3.707134187956378,2.622876040597566
2008-06-01,4.936075597554201,3.6902914505920847,2.635782747603832
2008-07-01,4.9400694522236055,3.7922962860851777,2.7272727272727115
2008-08-01,4.8325033952014484,3.1761202656568153,2.744186046511632
2008-09-01,4.714997232982854,3.1237194766563463,2.951230628988144
2008-10-01,4.0228621675093335,2.3567729462787512,2.9884537016074297
2008-11-01,3.010799607287007,1.3516280856523777,3.9342403628117806
2008-12-01,2.1925539997829313,0.4624488709692997,3.8552587081501555
2009-01-01,1.9821389675451995,0.3398491311642483,3.9157990040742385
2009-02-01,1.8255801165731889,0.20934789165320827,4.553294239392902
2009-03-01,1.526389336773093,-0.0041497528415776995,4.375631100639521
2009-04-01,1.1407249466951042,-0.4580938142243204,4.419458978069679
2009-05-01,0.7094451503600219,-0.5259113176404905,4.944993888209814
2009-06-01,0.6886322703676395,-0.5742230716038565,4.936075597554201
2009-07-01,0.7045260461144176,-0.755426418041173,4.9400694522236055
2009-08-01,0.9824031091439256,-0.8138852157252512,4.8325033952014484
2009-09-01,0.739879505337715,-0.8967456730733477,4.714997232982854
2009-10-01,1.2362637362637319,-0.33922261914523466,4.0228621675093335
2009-11-01,2.1073811288785382,0.6206594136715072,3.010799607287007
2009-12-01,2.549123738714809,1.2626936812910132,2.1925539997829313
2010-01-01,2.328064929517293,2.0294018478846096,1.9821389675451995
2010-02-01,2.862080138243872,2.8206338315892854,1.8255801165731889
2010-03-01,3.9280042350449795,4.056901041107276,1.526389336773093
2010-04-01,4.753873721935276,4.875792997995961,1.1407249466951042
2010-05-01,5.299127326253816,5.7161367668895595,0.7094451503600219
2010-06-01,5.19781144781144,6.012124045955567,0.6886322703676395
2010-07-01,5.522577909688353,6.590030967230861,0.7045260461144176
2010-08-01,5.6339533889245175,6.92147502161724,0.9824031091439256
2010-09-01,5.655230301122649,7.436778049324368,0.739879505337715
2010-10-01,5.23953658282017,7.544722291855792,1.2362637362637319
2010-11-01,4.791537025513382,7.668377693077285,2.1073811288785382
2010-12-01,5.157949249093741,7.91707464843157,2.549123738714809
2011-01-01,4.915466499686927,7.834899914132803,2.328064929517293
2011-02-01,4.147417051658975,7.845019884636871,2.862080138243872
