,MAPE,RMSE,Bias,Period,PeriodStart,PeriodEnd
OOS,172.92367346909253,0.9744418773219593,-0.10775329773152544,Full,2001-01-01,2025-03-01
Adaptive,343.21172190880037,1.9046833244187014,0.04469699062958772,Full,1992-01-01,2025-04-01
Michigan,400.0577572425624,1.6486570555135625,0.4757099383408655,Full,1992-01-01,2025-04-01
