,MAPE,RMSE,Bias
EXP-IS,87.76020608114484,0.575942686907205,-2.334726151691248e-05
OOS,172.93143361617996,0.974672482173666,-0.10753679148098266
Adapt.EXP(LAG-1),461.7826972243353,2.1688120944558285,0.02223320894745231
Survey π (MICH),403.57297017311043,1.4267972071495447,0.5668689036242007
