Μεταβλητή,Μεταβλητότητα,Σχετική Μεταβλητότητα
ΑΕΠ,3.2414209514622137,1.0
Ιδιωτική Κατανάλωση,3.2720624807438417,1.0094531163154867
Επενδύσεις,18.784137271134767,5.79503173219794
